trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.2, 'e': 0.931461892127592}",20,0,-82.12206850214038,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.2, 'e': 0.9305308958112057}",20,0,-43.84309654943415,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.2, 'e': 0.9296008300257927}",30,0,-153.260040522095,"{0: 17, 1: 7, 2: 3, 3: 1, 4: 2}",0
74,False,"{'a': 0.2, 'e': 0.9286716938412872}",20,12,-37.586703010692894,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.2, 'e': 0.9277434863285529}",25,0,-124.5331605251173,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
76,False,"{'a': 0.2, 'e': 0.9268162065593822}",20,7,-101.97454849053253,"{0: 6, 1: 4, 2: 1, 3: 0, 4: 2}",1
77,False,"{'a': 0.2, 'e': 0.9258898536064953}",25,0,-159.40171813596234,"{0: 11, 1: 1, 2: 12, 3: 0, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.9249644265435394}",35,0,-170.28574665326485,"{0: 19, 1: 6, 2: 8, 3: 0, 4: 2}",0
79,False,"{'a': 0.2, 'e': 0.9240399244450868}",25,0,-85.91928214570234,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
80,False,"{'a': 0.2, 'e': 0.9231163463866358}",20,0,-128.01080618667038,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
81,False,"{'a': 0.2, 'e': 0.9221936914446079}",20,0,-68.38578072048375,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
82,False,"{'a': 0.2, 'e': 0.9212719586963487}",25,0,-249.13647432675236,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
83,False,"{'a': 0.2, 'e': 0.9203511472201247}",20,0,-68.86674309129602,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
84,False,"{'a': 0.2, 'e': 0.9194312560951248}",20,4,-51.73971465378294,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.2, 'e': 0.9185122844014573}",20,0,-28.644371007707136,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.2, 'e': 0.9175942312201509}",20,0,-11.105294696184375,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.2, 'e': 0.9166770956331523}",20,0,-47.91382407927485,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.9157608767233256}",30,10,-119.26805416992443,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",1
89,False,"{'a': 0.2, 'e': 0.914845573574452}",20,0,-163.41479830248457,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
90,False,"{'a': 0.2, 'e': 0.9139311852712282}",25,0,-76.00052460143768,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
91,False,"{'a': 0.2, 'e': 0.9130177108992658}",20,0,-136.88618886466904,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
92,False,"{'a': 0.2, 'e': 0.9121051495450905}",20,0,-49.32064745354668,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.2, 'e': 0.9111935002961405}",20,0,-52.01656327257624,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
94,False,"{'a': 0.2, 'e': 0.910282762240767}",20,0,-60.326324696569074,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.2, 'e': 0.9093729344682315}",20,0,-99.93154295547656,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
96,False,"{'a': 0.2, 'e': 0.9084640160687062}",20,0,-63.373952210702846,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
97,False,"{'a': 0.2, 'e': 0.9075560061332726}",30,14,-55.586732902040794,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
98,False,"{'a': 0.2, 'e': 0.9066489037539209}",25,0,-105.25385009257113,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
99,False,"{'a': 0.2, 'e': 0.9057427080235485}",20,0,-89.74500887134073,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
100,False,"{'a': 0.2, 'e': 0.9048374180359595}",20,4,-80.31917516366956,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 1}",1
101,False,"{'a': 0.2, 'e': 0.903933032885864}",20,0,-34.71163023669793,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
102,False,"{'a': 0.2, 'e': 0.9030295516688768}",25,0,-31.944952364851787,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
103,False,"{'a': 0.2, 'e': 0.9021269734815165}",30,19,-41.0944336461709,"{0: 7, 1: 2, 2: 0, 3: 2, 4: 0}",1
104,False,"{'a': 0.2, 'e': 0.9012252974212048}",20,0,-47.38849866003448,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
105,False,"{'a': 0.2, 'e': 0.9003245225862656}",35,0,-95.31327728651608,"{0: 22, 1: 8, 2: 2, 3: 3, 4: 0}",0
106,False,"{'a': 0.2, 'e': 0.899424648075924}",20,0,-105.9349305229668,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
107,False,"{'a': 0.2, 'e': 0.8985256729903055}",25,0,-66.28872181391085,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
108,False,"{'a': 0.2, 'e': 0.8976275964304348}",30,0,-182.14826136010166,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
109,False,"{'a': 0.2, 'e': 0.8967304174982355}",20,0,-147.47651084044853,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
110,False,"{'a': 0.2, 'e': 0.8958341352965282}",20,0,-91.66185541589361,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
111,False,"{'a': 0.2, 'e': 0.894938748929031}",20,0,-173.51241871446194,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
112,False,"{'a': 0.2, 'e': 0.8940442575003573}",20,0,-99.95554694985864,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
113,False,"{'a': 0.2, 'e': 0.8931506601160155}",20,0,-90.0923716305351,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
114,False,"{'a': 0.2, 'e': 0.8922579558824083}",20,0,-115.12746230436015,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
