trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.9, 'e': 0.9323938199059482}",20,0,-66.36941670908678,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
71,False,"{'a': 0.9, 'e': 0.931461892127592}",30,0,-193.6834235814043,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
72,False,"{'a': 0.9, 'e': 0.9305308958112057}",25,3,-86.27630583277241,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 0}",1
73,False,"{'a': 0.9, 'e': 0.9296008300257927}",20,0,-51.92740915724573,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
74,False,"{'a': 0.9, 'e': 0.9286716938412872}",20,2,-162.1285351704654,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 2}",1
75,False,"{'a': 0.9, 'e': 0.9277434863285529}",25,0,-161.57347582788023,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
76,False,"{'a': 0.9, 'e': 0.9268162065593822}",20,0,-59.90434105236569,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.9, 'e': 0.9258898536064953}",25,0,-212.7331385595369,"{0: 13, 1: 3, 2: 3, 3: 3, 4: 3}",0
78,False,"{'a': 0.9, 'e': 0.9249644265435394}",20,0,-126.77842285047521,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
79,False,"{'a': 0.9, 'e': 0.9240399244450868}",20,0,-109.80113221763862,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.9, 'e': 0.9231163463866358}",25,0,-157.6221604172816,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
81,False,"{'a': 0.9, 'e': 0.9221936914446079}",25,0,-130.6426181923552,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
82,False,"{'a': 0.9, 'e': 0.9212719586963487}",20,3,-67.10962166788606,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
83,False,"{'a': 0.9, 'e': 0.9203511472201247}",20,0,-90.36718893910465,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
84,False,"{'a': 0.9, 'e': 0.9194312560951248}",25,0,-83.18190257227265,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
85,False,"{'a': 0.9, 'e': 0.9185122844014573}",25,0,-132.15149685657974,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
86,False,"{'a': 0.9, 'e': 0.9175942312201509}",25,0,-114.09651936300685,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
87,False,"{'a': 0.9, 'e': 0.9166770956331523}",25,0,-98.80853228218545,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
88,False,"{'a': 0.9, 'e': 0.9157608767233256}",20,0,-147.9050878505444,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
89,False,"{'a': 0.9, 'e': 0.914845573574452}",25,0,-235.76345757506354,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 5}",0
90,False,"{'a': 0.9, 'e': 0.9139311852712282}",20,1,-34.63219274317396,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
